hidden_size,epochs_ran,best_train_success,final_train_success,final_train_loss,test_accuracy
1,5000,0.8,0.8,0.6647461742538111,0.7824675324675324
2,5000,0.8021739130434783,0.8021739130434783,0.6042318233038946,0.75
3,5000,0.808695652173913,0.7978260869565217,0.5956851479780849,0.7467532467532467
4,5000,0.8347826086956521,0.8239130434782609,0.5628253452776556,0.75
5,712,0.8739130434782608,0.8717391304347826,0.4576209020498484,0.7175324675324676
6,806,0.8956521739130435,0.8934782608695652,0.4111851552431948,0.7337662337662337
7,916,0.9108695652173913,0.9021739130434783,0.38676607505347543,0.7045454545454546
8,841,0.9108695652173913,0.9021739130434783,0.3777471464069447,0.724025974025974
9,799,0.9217391304347826,0.8956521739130435,0.40006587765932283,0.7532467532467533
10,957,0.9326086956521739,0.9326086956521739,0.2691004645361329,0.7435064935064936
11,714,0.9195652173913044,0.9173913043478261,0.33270397122001283,0.7532467532467533
12,737,0.9239130434782609,0.9239130434782609,0.3045483718324389,0.7272727272727273
13,740,0.9108695652173913,0.8782608695652174,0.4740871056663177,0.762987012987013
14,871,0.9217391304347826,0.9195652173913044,0.3218418768695828,0.7467532467532467
15,1151,0.9347826086956522,0.9347826086956522,0.2609283563638791,0.7142857142857143
16,780,0.9239130434782609,0.9173913043478261,0.33055066039556863,0.7402597402597403
17,1054,0.9043478260869565,0.9043478260869565,0.38264290342708274,0.7564935064935064
18,612,0.9108695652173913,0.9043478260869565,0.37814838465484335,0.7045454545454546
19,706,0.9347826086956522,0.9347826086956522,0.26093014989624164,0.7207792207792207
20,902,0.9239130434782609,0.9239130434782609,0.3044273371354782,0.7305194805194806
21,1019,0.9282608695652174,0.9260869565217391,0.29574024638528057,0.762987012987013
22,1189,0.9239130434782609,0.9239130434782609,0.3044479833598982,0.724025974025974
23,736,0.9304347826086956,0.9282608695652174,0.2851348305171673,0.7532467532467533
24,935,0.9130434782608695,0.8847826086956522,0.43488126515520936,0.7045454545454546
25,856,0.9260869565217391,0.9239130434782609,0.3043835514793469,0.7142857142857143
26,743,0.9434782608695652,0.9434782608695652,0.22621677975843354,0.7175324675324676
27,865,0.9152173913043479,0.9152173913043479,0.33922859602926797,0.7045454545454546
28,816,0.9043478260869565,0.9043478260869565,0.3826811651103911,0.7564935064935064
29,837,0.9173913043478261,0.9173913043478261,0.33050754816443734,0.7467532467532467
30,880,0.941304347826087,0.908695652173913,0.34494549619509807,0.6785714285714286
